QuestionID,Question
KIDPRIV1,How concerned are you about each of the following? a. Advertisers using data about what children do online to target ads to them
KIDPRIV1,How concerned are you about each of the following? b. Online games or gaming apps tracking what children are doing on them
KIDPRIV1,How concerned are you about each of the following? c. Social media sites and apps knowing personal information about children
KIDPRIV2,How much responsibility do you think each of the following should have for protecting children’s digital privacy? a. The government
KIDPRIV2,How much responsibility do you think each of the following should have for protecting children’s digital privacy? b. Technology companies
KIDPRIV2,How much responsibility do you think each of the following should have for protecting children’s digital privacy? c. Parents
ACCPTLWF1,"How acceptable do you think it is for law enforcement to do each of the following during a criminal investigation? a. Obtain footage from cameras people install at their residences, like video doorbells"
ACCPTLWF1,"How acceptable do you think it is for law enforcement to do each of the following during a criminal investigation? b. Require third parties to turn over users’ private chats, messages or calls"
ACCPTLWF1,How acceptable do you think it is for law enforcement to do each of the following during a criminal investigation? c. Break the passcode on a user’s phone to get access to its contents
ACCPTLWF1,How acceptable do you think it is for law enforcement to do each of the following during a criminal investigation? d. Use information from cell phone towers to track where someone is
ACCPTLWF2,"How acceptable do you think it is for law enforcement to do each of the following during a criminal investigation where public safety is at risk? a. Obtain footage from cameras people install at their residences, like video doorbells"
ACCPTLWF2,"How acceptable do you think it is for law enforcement to do each of the following during a criminal investigation where public safety is at risk? b. Require third parties to turn over users’ private chats, messages or calls"
ACCPTLWF2,How acceptable do you think it is for law enforcement to do each of the following during a criminal investigation where public safety is at risk? c. Break the passcode on a user’s phone to get access to its contents
ACCPTLWF2,How acceptable do you think it is for law enforcement to do each of the following during a criminal investigation where public safety is at risk? d. Use information from cell phone towers to track where someone is
AI_HEARD,How much have you heard or read about AI?
AIPRIV2,"As companies use AI to collect and analyze personal details and information, do you think this information will be used in ways people would not be comfortable with?"
AIPRIV2,"As companies use AI to collect and analyze personal details and information, do you think this information will be used in ways that were not originally intended?"
AIPRIV2,"As companies use AI to collect and analyze personal details and information, do you think this information will be used in ways that could make people’s lives easier?"
AIPRIV3,How much do you trust companies to make responsible decisions about how they use AI in their products?
PARTY,"In politics today, do you consider yourself a:"
PARTYLN,As of today do you lean more to…
